Name,Thermal conductivity,
,0.0206,
,0.014,
,0.01439,
,0.1169,
,0.1207,
,0.1231,
,0.1265,
,0.1225,
,0.1264,
,0.1246,
,0.1314,
,0.1304,
,0.1353,
,0.1354,
,0.1374,
