Name,Boiling point,
er (Ag),2162,
Platinum (Pt),3825,
Palladium (Pd),2963,
Rhodium (Rh),3695,
Iridium (Ir),4428,
Osmium (Os),5008,
Ruthenium (Ru),4147,
Rhenium (Re),5590,
