Soil type,Specific heat capacity,d (wet) (4-23 wt% water),753,
Sand, Northway (4-10 wt% water),837,
Sand, quartz (wet) (4-23 wt% water),753,
Soil (average),1046,
Soil, clayey (wet),2929,
Soil, fine quartz flour (dry),745,
Soil, fine quartz flour (21 wt% water),1464,
Soil, loam (dry),837,
Soil, loam (4-27 wt% water),1046,
Soil, sandy (8 wt% water),1004,
Soil, sandy dry,795,
