Aluminum alloy,Brinell hardness (HB),
100.1,25,
201.0-T4,95,
201.0-T6,135,
201.0-T7,130,
204.0-T4,110,
204.0-T6,120,
206.0-T7,120,
295.0-T4,60,
295.0-T6,75,
296.0-T4,75,
296.0-T6,90,
356.0-T6,75,
359.0-T61,90,
359.0-T62,100,
360.0-F,75,
380.0-F,80,
383.0-F,75,
384.0-F,85,
390.0-F,120,
390.0-T5,125,
413.0-F,80,
514.0-F,50,
518.0-F,80,
520.0-T4,75,
535.0-F,70,
712.0-F,75,
850.0-T5,45,
